iter	Passed	Remaining
701	63245	26847
702	63334	26757
703	63418	26664
704	63505	26573
705	63594	26482
706	63680	26391
707	63767	26299
708	63851	26206
709	63943	26117
710	64035	26028
711	64118	25935
712	64204	25844
713	64293	25753
714	64423	25679
715	64513	25589
716	64599	25497
717	64687	25406
718	64775	25315
719	64861	25223
720	64949	25132
721	65039	25042
722	65126	24951
723	65213	24860
724	65297	24768
725	65385	24677
726	65470	24585
727	65562	24495
728	65650	24404
729	65742	24315
730	65830	24225
731	65917	24133
732	66003	24042
733	66091	23951
734	66185	23862
735	66273	23772
736	66363	23681
737	66450	23590
738	66537	23499
739	66629	23410
740	66718	23320
741	66805	23228
742	66895	23138
743	66980	23046
744	67068	22956
745	67157	22865
746	67245	22775
747	67336	22685
748	67427	22595
749	67514	22504
750	67597	22412
751	67684	22321
752	67773	22231
753	67858	22139
754	67942	22047
755	68027	21956
756	68117	21866
757	68203	21774
758	68290	21683
759	68376	21592
760	68464	21502
761	68552	21411
762	68640	21320
763	68731	21231
764	68817	21140
765	68906	21049
766	68995	20959
767	69080	20868
768	69169	20777
769	69265	20689
770	69359	20600
771	69449	20510
772	69540	20421
773	69629	20331
774	69716	20240
775	69849	20162
776	69937	20072
777	70024	19981
778	70110	19890
779	70196	19799
780	70285	19708
781	70375	19618
782	70460	19527
783	70548	19436
784	70634	19345
785	70721	19254
786	70810	19164
787	70899	19074
788	70987	18983
789	71075	18893
790	71162	18802
791	71251	18712
792	71339	18622
793	71425	18531
794	71515	18441
795	71604	18350
796	71693	18260
797	71782	18170
798	71871	18080
799	71959	17989
800	72055	17901
801	72144	17811
802	72229	17720
803	72318	17629
804	72406	17539
805	72495	17449
806	72584	17359
807	72674	17269
808	72763	17179
809	72848	17087
810	72935	16997
811	73024	16907
812	73112	16816
813	73199	16726
814	73288	16636
815	73376	16545
816	73463	16455
817	73549	16364
818	73637	16274
819	73726	16183
820	73813	16093
821	73905	16003
822	73995	15914
823	74081	15823
824	74169	15732
825	74255	15642
826	74345	15552
827	74436	15462
828	74528	15373
829	74615	15282
830	74704	15192
831	74787	15101
832	74873	15010
833	74961	14920
834	75056	14831
835	75142	14740
836	75229	14650
837	75320	14560
838	75451	14478
839	75537	14388
840	75618	14296
841	75705	14206
842	75791	14115
843	75879	14025
844	75965	13934
845	76057	13844
846	76146	13754
847	76233	13664
848	76317	13573
849	76402	13482
850	76492	13392
851	76580	13302
852	76671	13213
853	76759	13122
854	76848	13032
855	76941	12943
856	77042	12855
857	77133	12765
858	77220	12675
859	77309	12585
860	77398	12495
861	77485	12404
862	77575	12314
863	77659	12224
864	77746	12133
865	77833	12043
866	77920	11953
867	78012	11863
868	78098	11773
869	78184	11682
870	78270	11592
871	78359	11502
872	78447	11412
873	78532	11321
874	78623	11231
875	78709	11141
876	78799	11051
877	78889	10961
878	78976	10871
879	79063	10781
880	79152	10691
881	79240	10601
882	79327	10511
883	79415	10421
884	79504	10331
885	79594	10241
886	79681	10151
887	79769	10061
888	79855	9970
889	79944	9880
890	80040	9791
891	80136	9702
892	80224	9612
893	80309	9522
894	80396	9431
895	80482	9341
896	80571	9251
897	80661	9162
898	80749	9071
899	80839	8982
900	80928	8892
901	81019	8802
902	81113	8713
903	81202	8623
904	81331	8537
905	81420	8447
906	81508	8357
907	81595	8267
908	81685	8177
909	81777	8087
910	81864	7997
911	81954	7907
912	82043	7817
913	82126	7727
914	82214	7637
915	82302	7547
916	82390	7457
917	82479	7367
918	82567	7277
919	82655	7187
920	82742	7097
921	82830	7007
922	82916	6917
923	83007	6827
924	83094	6737
925	83183	6647
926	83275	6557
927	83363	6467
928	83453	6378
929	83543	6288
930	83630	6198
931	83717	6108
932	83805	6018
933	83890	5928
934	83977	5837
935	84065	5748
936	84150	5657
937	84242	5568
938	84333	5478
939	84419	5388
940	84502	5298
941	84590	5208
942	84675	5118
943	84756	5027
944	84845	4938
945	84936	4848
946	85025	4758
947	85111	4668
948	85198	4578
949	85280	4488
950	85367	4398
951	85455	4308
952	85540	4218
953	85628	4128
954	85718	4039
955	85810	3949
956	85898	3859
957	85985	3769
958	86074	3679
959	86164	3590
960	86251	3500
961	86339	3410
962	86429	3320
963	86522	3231
964	86609	3141
965	86697	3051
966	86786	2961
967	86867	2871
968	86957	2781
969	87086	2693
970	87172	2603
971	87261	2513
972	87351	2423
973	87441	2334
974	87531	2244
975	87619	2154
976	87707	2064
977	87799	1975
978	87889	1885
979	87974	1795
980	88064	1705
981	88164	1616
982	88251	1526
983	88338	1436
984	88430	1346
985	88519	1256
986	88610	1167
987	88698	1077
988	88787	987
989	88876	897
990	88971	808
991	89055	718
992	89146	628
993	89231	538
994	89319	448
995	89406	359
996	89494	269
997	89585	179
998	89675	89
999	89759	0
